Title,Number,Arranger/Composer
I've Got My Love to Keep Me Warm ,224,Holman
Wide Open Spaces ,225,Florence?
A Warm Breeze,226,Nestico
Caravan ,228,Wolpe
I'll Take Romance ,229,Niehaus
88 Basie Street ,230,Nestico
Told You So ,231,Holman
Flirt ,232,Nestico
Freckle Face ,233,Nestico
Basie Straight Ahead,234,Nestico
Angel Eyes,236,Foster
Doin’ Basie’s Thing ,238,Nestico
You've Changed ,239,Taylor
Back to Basieques,240,
Lonely Street ,241,Nestico
Growl ,242,Foust
High Five ,243,Nestico
When You're Smiling ,244,Kubis
Hava Nice Day ,248,Nestico
Rainy Sunday ,251,De Camp
Scarecrow ,252,Como
Memories of You ,253,Como
Easy Time ,259,Newsome
Smack Dab in the Middle ,261,Taylor
Red Top ,262,Taylor
Rachael ,263,Nestico
Poor Butterfly ,264,Wolpe
Scott's Place ,265,Nestico
Groove Merchant ,266,Barduhn
Don't Get Around Much Anymore ,267,Nestico
Orange Sherbet ,274,Nestico 
The Heat's On ,275,Nestico
Laura ,277,Kenton
Do Nothin' 'til You Hear from Me ,278,Wolpe
Don't Blame Me ,280,Wolpe
Dreamsville ,281,Reisman
The Queen Bee ,282,Nestico
I Can't Give You Anything but Love ,283,Nestico
Kiss the Bass Goodbye ,285,Woodman
Gentle Jim ,286,Ganley
Every Time We Say Goodbye ,288,
Seems Like Old Times ,291,Mantooth
Four Others ,292,Como
Stumbling ,293,Wolpe
Walkin' Shoes ,294,Mulligan
Star Eyes ,295,Wolpe
Wait Until Dark ,296,Como
Georgia on My Mind ,297,R. Como
Tangerine ,298,Wolpe
Friday Night at the Cadillac Club ,301,Culver
Alright OK You Win,302,Nestico
Stardust ,303,Como
The Plunger ,307,Nestico
Saturday Night ,311,Como
Like Someone in Love ,312,Close
My Favorite Things ,313,Herman?
Triste,314,
On the Alamo ,315,Como
Spookin' ,316,R. Como
Sabor a Mi ,317,Close
My Friend Willie ,319,Nestico
Autumn Leaves,322,Blair
When Sunny Gets,323,Barduhn
My Romance ,324,Taylor
Love Walked In ,325,Schamber?
Gumshoe ,328,Nestico
Blues in the Night ,329,Custer
Mood for Trumpet ,332,Niehaus
Miss Fine ,333,Blair
Yesterday's Flowers ,336,Hughes/Como
Passion Flower ,337,Strayhorn
Swingtime in the Rockies ,338,Wolpe
The World Is Waiting for the Sunrise ,339,Wolpe
Yesterdays ,341,Enos
Speak Low ,342,Holman
Somebody Loves Me ,343,Heath
Who's Sorry Now ,345,Nestico
After You've Gone,347,Taylor
All of Me,348,Byers
Crème de Menthe ,350,Como
Lester Leaps In ,351,Collins
Flight of the Foo Birds ,352,Hefti
The Jazz Me Blues ,353,Collins
That's Where It Is ,354,B. Martin
It's Time to Move ,355,Wolpe
Soulful One ,356,Pemberton
I Ain’t Got Nobody ,358,Kubis
Hay Burner ,360,Nestico
Beaver Junction,361,Collins
Isfahan ,363,Strayhorn
I May Be Wrong ,366,Como
Ballade,367,Como
Poinciana ,368,Close
Killer Joe ,369,Barnes
Sambani,370,Como
You're Nobody 'til Somebody Loves You ,371,Nowak
No More Blues ,372,Como
Ultra ,374,James
Russ Job,376,Como
Emily ,379,Close 
Down For the Count ,382,
Another F in Blues,383,Close
Green Dolphin Street ,385,Barnes
